,song_id,duration_mins,popularity,danceability,energy,acousticness,valence,tempo,song,performer,peak_position,year,total_charting_weeks,top10
0,ApplauseLady Gaga,3.538883333333333,71.0,66.9,78.0,2.65,73.8,139.945,Applause,Lady Gaga,4.0,2013,23.0,True
1,Story Of My LifeOne Direction,4.09155,81.0,60.0,66.3,22.5,28.599999999999998,121.07,Story Of My Life,One Direction,6.0,2013,32.0,True
2,"Bang BangJessie J, Ariana Grande & Nicki Minaj",3.3231,79.0,70.6,78.60000000000001,26.0,74.9,150.035,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3.0,2014,31.0,True
3,"Sorry, Blame It On MeAkon",4.9286666666666665,59.0,71.3,64.3,27.6,50.8,176.079,"Sorry, Blame It On Me",Akon,7.0,2007,19.0,True
4,Strange CloudsB.o.B Featuring Lil Wayne,3.77155,61.0,53.1,66.5,6.069999999999999,80.0,73.726,Strange Clouds,B.o.B Featuring Lil Wayne,7.0,2011,20.0,True
5,Begin AgainTaylor Swift,3.9602166666666667,57.0,46.7,53.2,19.900000000000002,32.1,78.748,Begin Again,Taylor Swift,7.0,2012,20.0,True
6,Speed Of SoundColdplay,4.7984333333333336,70.0,52.300000000000004,89.8,0.49100000000000005,35.5,123.085,Speed Of Sound,Coldplay,8.0,2005,20.0,True
7,Can't Be TamedMiley Cyrus,2.80355,62.0,63.7,91.9,3.5900000000000003,79.3,116.987,Can't Be Tamed,Miley Cyrus,8.0,2010,10.0,True
8,Speak NowTaylor Swift,4.012666666666667,53.0,70.89999999999999,59.9,9.5,73.5,118.975,Speak Now,Taylor Swift,8.0,2010,3.0,True
9,Teenage DreamGlee Cast,3.7557666666666667,55.0,49.3,36.199999999999996,74.0,65.0,129.739,Teenage Dream,Glee Cast,8.0,2010,3.0,True
10,SkyfallAdele,4.774666666666667,74.0,34.599999999999994,55.2,41.699999999999996,7.89,75.881,Skyfall,Adele,8.0,2012,20.0,True
11,SugarMaroon 5,3.9248833333333333,81.0,74.8,78.8,5.91,88.4,120.076,Sugar,Maroon 5,2.0,2015,42.0,True
12,So WhatP!nk,3.586,69.0,53.400000000000006,87.0,0.0329,46.2,126.019,So What,P!nk,1.0,2008,31.0,True
13,Bad RomanceLady Gaga,4.90955,80.0,69.6,92.10000000000001,0.314,71.39999999999999,119.001,Bad Romance,Lady Gaga,2.0,2010,34.0,True
14,6 Foot 7 FootLil Wayne Featuring Cory Gunz,4.1431,71.0,36.5,75.1,0.0707,60.4,79.119,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,9.0,2011,21.0,True
15,Take CareDrake Featuring Rihanna,4.6231,72.0,62.9,51.5,2.67,29.9,121.845,Take Care,Drake Featuring Rihanna,7.0,2012,34.0,True
16,StarshipsNicki Minaj,3.5104333333333333,69.0,74.7,71.6,13.5,75.1,125.008,Starships,Nicki Minaj,5.0,2012,31.0,True
17,ChangeTaylor Swift,4.6706666666666665,48.0,54.1,77.0,0.40800000000000003,21.5,96.013,Change,Taylor Swift,10.0,2008,3.0,True
18,SkyscraperDemi Lovato,3.6882166666666665,68.0,48.4,60.4,14.899999999999999,18.099999999999998,103.316,Skyscraper,Demi Lovato,10.0,2011,15.0,True
19,PerfectOne Direction,3.8388833333333334,75.0,64.7,82.3,5.9799999999999995,39.6,99.933,Perfect,One Direction,10.0,2015,8.0,True
20,A Little Bit LongerJonas Brothers,3.4168833333333333,53.0,30.4,61.199999999999996,3.08,27.900000000000002,156.286,A Little Bit Longer,Jonas Brothers,11.0,2008,1.0,False
21,Rumour Has It / Someone Like YouGlee Cast,3.4657666666666667,56.0,64.0,89.60000000000001,27.500000000000004,75.1,123.071,Rumour Has It / Someone Like You,Glee Cast,11.0,2011,3.0,False
22,So GoodB.o.B,3.5542166666666666,64.0,66.0,90.0,4.03,59.099999999999994,85.51,So Good,B.o.B,11.0,2012,18.0,False
23,DianaOne Direction,3.0777666666666668,64.0,54.900000000000006,86.8,6.04,75.5,171.96,Diana,One Direction,11.0,2013,1.0,False
24,DirtFlorida Georgia Line,3.8431,63.0,55.400000000000006,87.5,6.61,54.300000000000004,121.976,Dirt,Florida Georgia Line,11.0,2014,20.0,False
25,Somewhere Over The RainbowKatharine McPhee,3.50555,41.0,43.0,20.3,86.3,10.5,119.884,Somewhere Over The Rainbow,Katharine McPhee,12.0,2006,4.0,False
26,Ring The AlarmBeyonce,3.3891,53.0,45.800000000000004,75.1,2.9899999999999998,48.0,169.673,Ring The Alarm,Beyonce,11.0,2006,14.0,False
27,AirplanesB.o.B Featuring Hayley Williams,3.008,76.0,66.0,86.7,11.0,37.7,93.033,Airplanes,B.o.B Featuring Hayley Williams,2.0,2010,30.0,True
28,Take A Little RideJason Aldean,3.1268833333333332,58.0,47.199999999999996,86.6,4.3999999999999995,77.5,163.867,Take A Little Ride,Jason Aldean,12.0,2012,20.0,False
29,Scream & Shoutwill.i.am & Britney Spears,4.723333333333334,74.0,77.2,68.5,1.9,50.1,130.033,Scream & Shout,will.i.am & Britney Spears,3.0,2013,24.0,True
30,Burnin' It DownJason Aldean,3.6526666666666667,64.0,68.10000000000001,79.5,30.5,64.0,135.939,Burnin' It Down,Jason Aldean,12.0,2014,20.0,False
